episode,reward
0,84.24
1,-103.48
2,-113.28
3,-115
4,-105.68
5,85.04
6,-105.08
7,-100.32
8,98.4
9,99.12
10,99.84
11,99.84
12,92.48
13,99.84
14,99.84
15,99.76
16,99.84
17,99.8
18,99.84
19,99.84
20,99.84
21,99.84
22,99.8
23,99.84
24,99.84
25,99.84
26,99.84
27,99.84
28,99.84
29,99.84
30,99.8
31,99.84
32,99.84
33,99.84
34,99.84
35,99.84
36,99.84
37,99.8
38,99.84
39,99.84
40,99.84
41,99.84
42,-100.12
43,99.84
44,99.84
45,99.84
46,99.84
47,99.84
48,99.84
49,99.84
50,99.84
51,99.84
52,99.84
53,99.84
54,99.84
55,98.72
56,99.84
57,99.76
58,-100.12
59,99.84
60,99.84
61,99.84
62,99.84
63,99.84
64,99.68
65,99.84
66,99.84
67,99.84
68,99.84
69,99.84
70,99.84
71,99.84
72,99.76
73,99.8
74,99.84
75,99.84
76,99.84
77,99.84
78,99.84
79,99.8
80,99.84
81,99.84
82,99.84
83,99.84
84,99.84
85,99.84
86,99.84
87,99.84
88,99.84
89,99.84
90,99.84
91,99.84
92,99.84
93,99.72
94,99.76
95,99.84
96,99.84
97,99.84
98,99.84
99,99.84
100,99.84
101,99.84
102,99.84
103,99.84
104,99.76
105,99.84
106,99.84
107,99.84
108,99.84
109,99.84
110,99.76
111,99.84
112,99.84
113,99.84
114,99.84
115,99.68
116,99.84
117,99.84
118,99.84
119,99.84
120,99.84
121,99.84
122,99.84
123,99.84
124,99.76
125,99.84
126,99.84
127,99.84
128,99.84
129,99.84
130,99.84
131,99.84
132,99.84
133,99.84
134,99.84
135,99.84
136,99.84
137,99.84
138,99.84
139,99.8
140,99.84
141,99.84
142,99.84
143,99.84
144,99.84
145,99.84
146,99.84
147,99.84
148,99.84
149,99.84
150,99.84
151,99.84
152,99.84
153,99.84
154,99.72
155,99.84
156,99.84
157,99.8
158,99.84
159,99.84
160,99.84
161,99.84
162,99.84
163,99.84
164,99.84
165,99.84
166,99.84
167,99.84
168,99.84
169,99.84
170,99.84
171,99.84
172,99.84
173,99.84
174,99.84
175,-100.16
176,99.84
177,99.84
178,99.84
179,99.84
180,99.84
181,99.8
182,99.84
183,99.84
184,99.84
185,99.84
186,99.76
187,99.84
188,99.84
189,99.84
190,99.8
191,99.84
192,99.84
193,99.84
194,99.84
195,99.8
196,99.76
197,99.84
198,99.76
199,99.84
